Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
SP,Gio Gonzalez (7223359),Gio Gonzalez,7223359,5700,Was@Col 03:10PM ET,Was
OF,Charlie Blackmon (7223751),Charlie Blackmon,7223751,5700,Was@Col 03:10PM ET,Col
SP,Jon Gray (7223370),Jon Gray,7223370,5700,Was@Col 03:10PM ET,Col
SP,Tyler Anderson (7223372),Tyler Anderson,7223372,5700,Was@Col 03:10PM ET,Col
SP,Francisco Liriano (7223300),Francisco Liriano,7223300,5600,Tor@NYY 01:05PM ET,Tor
SP,Edwin Jackson (7223316),Edwin Jackson,7223316,5600,SD@TB 01:10PM ET,SD
SP,Juan Nicasio (7223387),Juan Nicasio,7223387,5600,Pit@SF 03:45PM ET,Pit
2B/OF,Trea Turner (7223623),Trea Turner,7223623,5600,Was@Col 03:10PM ET,Was
SP,Matt Cain (7223380),Matt Cain,7223380,5500,Pit@SF 03:45PM ET,SF
2B,Daniel Murphy (7223609),Daniel Murphy,7223609,5500,Was@Col 03:10PM ET,Was
SP,Jake Peavy (7223379),Jake Peavy,7223379,5400,Pit@SF 03:45PM ET,SF
SP,Adam Wainwright (7223338),Adam Wainwright,7223338,5400,StL@Hou 02:10PM ET,StL
OF,Carlos Gonzalez (7223746),Carlos Gonzalez,7223746,5400,Was@Col 03:10PM ET,Col
RP,Chris Heston (7223518),Chris Heston,7223518,5400,Pit@SF 03:45PM ET,SF
SP,Tyler Chatwood (7223366),Tyler Chatwood,7223366,5400,Was@Col 03:10PM ET,Col
OF,Bryce Harper (7223755),Bryce Harper,7223755,5400,Was@Col 03:10PM ET,Was
2B,Jose Altuve (7223608),Jose Altuve,7223608,5300,StL@Hou 02:10PM ET,Hou
1B,Edwin Encarnacion (7223563),Edwin Encarnacion,7223563,5200,Tor@NYY 01:05PM ET,Tor
OF,Starling Marte (7223765),Starling Marte,7223765,5200,Pit@SF 03:45PM ET,Pit
OF,Gregory Polanco (7223766),Gregory Polanco,7223766,5200,Pit@SF 03:45PM ET,Pit
RP,A.J. Cole (7223501),A.J. Cole,7223501,5200,Was@Col 03:10PM ET,Was
SP,Colin Rea (7223335),Colin Rea,7223335,5200,SD@TB 01:10PM ET,SD
SP,Luis Severino (7223315),Luis Severino,7223315,5200,Tor@NYY 01:05PM ET,NYY
SP,Lucas Giolito (7223375),Lucas Giolito,7223375,5200,Was@Col 03:10PM ET,Was
SP,Mike Leake (7223341),Mike Leake,7223341,5100,StL@Hou 02:10PM ET,StL
C,Wilson Ramos (7223550),Wilson Ramos,7223550,5100,Was@Col 03:10PM ET,Was
SP,Joe Ross (7223373),Joe Ross,7223373,5100,Was@Col 03:10PM ET,Was
SS,Carlos Correa (7223673),Carlos Correa,7223673,5100,StL@Hou 02:10PM ET,Hou
3B,Evan Longoria (7223638),Evan Longoria,7223638,5000,SD@TB 01:10PM ET,TB
3B,Josh Donaldson (7223637),Josh Donaldson,7223637,5000,Tor@NYY 01:05PM ET,Tor
SP,Luis Perdomo (7223336),Luis Perdomo,7223336,5000,SD@TB 01:10PM ET,SD
SS,Trevor Story (7223676),Trevor Story,7223676,5000,Was@Col 03:10PM ET,Col
1B/OF,Brandon Moss (7223591),Brandon Moss,7223591,4900,StL@Hou 02:10PM ET,StL
2B,Logan Forsythe (7223601),Logan Forsythe,7223601,4900,SD@TB 01:10PM ET,TB
SP,Jarred Cosart (7223330),Jarred Cosart,7223330,4900,SD@TB 01:10PM ET,SD
OF,Jayson Werth (7223743),Jayson Werth,7223743,4800,Was@Col 03:10PM ET,Was
SS,Aledmys Diaz (7223674),Aledmys Diaz,7223674,4800,StL@Hou 02:10PM ET,StL
SP,Paul Clemens (7223325),Paul Clemens,7223325,4700,SD@TB 01:10PM ET,SD
3B,Nolan Arenado (7223646),Nolan Arenado,7223646,4700,Was@Col 03:10PM ET,Col
SS,Brad Miller (7223670),Brad Miller,7223670,4700,SD@TB 01:10PM ET,TB
OF,Angel Pagan (7223757),Angel Pagan,7223757,4600,Pit@SF 03:45PM ET,SF
1B,Wil Myers (7223569),Wil Myers,7223569,4600,SD@TB 01:10PM ET,SD
2B/3B,Matt Carpenter (7223619),Matt Carpenter,7223619,4600,StL@Hou 02:10PM ET,StL
RP,Chris Stratton (7223525),Chris Stratton,7223525,4600,Pit@SF 03:45PM ET,SF
SP,Josh Johnson (7223317),Josh Johnson,7223317,4500,SD@TB 01:10PM ET,SD
OF,Denard Span (7223759),Denard Span,7223759,4500,Pit@SF 03:45PM ET,SF
SP,Chad Bettis (7223362),Chad Bettis,7223362,4500,Was@Col 03:10PM ET,Col
SP,Robbie Erlin (7223326),Robbie Erlin,7223326,4500,SD@TB 01:10PM ET,SD
OF,Michael A. Taylor (7223752),Michael A. Taylor,7223752,4500,Was@Col 03:10PM ET,Was
RP,Tyler Lyons (7223469),Tyler Lyons,7223469,4500,StL@Hou 02:10PM ET,StL
2B,Devon Travis (7223599),Devon Travis,7223599,4500,Tor@NYY 01:05PM ET,Tor
RP,Leonel Campos (7223452),Leonel Campos,7223452,4500,SD@TB 01:10PM ET,SD
RP,Carter Capps (7223453),Carter Capps,7223453,4500,SD@TB 01:10PM ET,SD
SP,Ryan Vogelsong (7223378),Ryan Vogelsong,7223378,4400,Pit@SF 03:45PM ET,Pit
RP,Jerome Williams (7223456),Jerome Williams,7223456,4400,StL@Hou 02:10PM ET,StL
RP,Kevin Jepsen (7223430),Kevin Jepsen,7223430,4400,SD@TB 01:10PM ET,TB
RP,David Carpenter (7223436),David Carpenter,7223436,4400,SD@TB 01:10PM ET,TB
SP,Lance Lynn (7223343),Lance Lynn,7223343,4400,StL@Hou 02:10PM ET,StL
3B,Anthony Rendon (7223645),Anthony Rendon,7223645,4400,Was@Col 03:10PM ET,Was
RP,Adam Wilk (7223446),Adam Wilk,7223446,4400,SD@TB 01:10PM ET,TB
RP,Keith Butler (7223471),Keith Butler,7223471,4400,StL@Hou 02:10PM ET,StL
SP,Burch Smith (7223327),Burch Smith,7223327,4400,SD@TB 01:10PM ET,TB
RP,Luis Cessa (7223419),Luis Cessa,7223419,4400,Tor@NYY 01:05PM ET,NYY
RP,Seth Maness (7223473),Seth Maness,7223473,4400,StL@Hou 02:10PM ET,StL
SP,Chase Whitley (7223332),Chase Whitley,7223332,4400,SD@TB 01:10PM ET,TB
SP,Marco Gonzales (7223348),Marco Gonzales,7223348,4400,StL@Hou 02:10PM ET,StL
SP,Luke Weaver (7223351),Luke Weaver,7223351,4400,StL@Hou 02:10PM ET,StL
SP,Mike Mayers (7223355),Mike Mayers,7223355,4400,StL@Hou 02:10PM ET,StL
1B,Mark Reynolds (7223574),Mark Reynolds,7223574,4300,Was@Col 03:10PM ET,Col
OF,Kevin Kiermaier (7223725),Kevin Kiermaier,7223725,4300,SD@TB 01:10PM ET,TB
RP,Michael Feliz (7223476),Michael Feliz,7223476,4300,StL@Hou 02:10PM ET,Hou
RP,Sergio Santos (7223401),Sergio Santos,7223401,4200,Tor@NYY 01:05PM ET,NYY
RP,Blake Parker (7223406),Blake Parker,7223406,4200,Tor@NYY 01:05PM ET,NYY
SS,Brandon Crawford (7223678),Brandon Crawford,7223678,4200,Pit@SF 03:45PM ET,SF
2B,DJ LeMahieu (7223610),DJ LeMahieu,7223610,4200,Was@Col 03:10PM ET,Col
RP,Bryan Mitchell (7223414),Bryan Mitchell,7223414,4200,Tor@NYY 01:05PM ET,NYY
