player,salary,team,pos,opp,ceil,floor,fpts
"Jeremy Hazelbaker",3500,STL,OF,HOU,,,5.52
"Anthony Kemp",3100,HOU,OF,STL,,,5.04
"Greg Garcia",2800,STL,2B/SS,HOU,,,5.1
"Ben Paulsen",3400,COL,1B/OF,WAS,,,6.24
"Charlie Blackmon",5700,COL,OF,WAS,,,9.39
"DJ LeMahieu",4200,COL,2B,WAS,,,6.93
"Nolan Arenado",4700,COL,3B,WAS,,,9.24
"David Dahl",4000,COL,OF,WAS,,,7.34
"Daniel Descalso",3100,COL,1B/SS,WAS,,,5.82
"Trea Turner",5600,WAS,2B/OF,COL,,,9.38
"Ben Revere",3800,WAS,OF,COL,,,6.41
"Bryce Harper",5400,WAS,OF,COL,,,11.34
"Daniel Murphy",5500,WAS,2B,COL,,,11.6
"Anthony Rendon",4400,WAS,3B,COL,,,7.99
"Danny Espinosa",3200,WAS,SS,COL,,,6.61
"Jayson Werth",4800,WAS,OF,COL,,,8.88
"Wilson Ramos",5100,WAS,C,COL,,,8.78
"John Jaso",2600,PIT,1B,SFG,,,6.17
"Andrew McCutchen",4000,PIT,OF,SFG,,,8.26
"Eric Fryer",2400,PIT,C,SFG,,,4.48
"Matt Joyce",3700,PIT,OF,SFG,,,7.39
"Jordy Mercer",2800,PIT,SS,SFG,,,5.52
"Starling Marte",5200,PIT,OF,SFG,,,9.12
"Gregory Polanco",5200,PIT,OF,SFG,,,8.45
"Jung-Ho Kang",4000,PIT,3B,SFG,,,6.19
"Francisco Cervelli",3200,PIT,C,SFG,,,5.93
"Josh Harrison",3500,PIT,2B,SFG,,,6.5
"Buster Posey",3800,SFG,C,PIT,,,8.21
"Brandon Belt",4000,SFG,1B,PIT,,,8.72
"Brandon Crawford",4200,SFG,SS,PIT,,,6.68
"Denard Span",4500,SFG,OF,PIT,,,6.49
"Angel Pagan",4600,SFG,OF,PIT,,,7.34
"Joe Panik",4000,SFG,2B,PIT,,,6.21
"Hunter Pence",3300,SFG,OF,PIT,,,7.62
"Eduardo Nunez",4100,SFG,3B/SS,PIT,,,6.23
"Trevor Brown",2700,SFG,C,PIT,,,5.1
"Adrian Gonzalez",5200,LAD,1B,PHI,,,8.59
"Justin Turner",5100,LAD,3B,PHI,,,8.98
"Chase Utley",3900,LAD,2B,PHI,,,7.93
"Yasmani Grandal",5100,LAD,C,PHI,,,7.96
"Howie Kendrick",4000,LAD,2B/OF,PHI,,,6.12
"Corey Seager",5000,LAD,SS,PHI,,,10.43
"Josh Reddick",4200,LAD,OF,PHI,,,8.51
"Joc Pederson",5000,LAD,OF,PHI,,,7.37
"Peter Bourjos",2500,PHI,OF,LAD,,,5.56
"Freddy Galvis",3300,PHI,SS,LAD,,,5.97
"Cesar Hernandez",3500,PHI,2B,LAD,,,7.1
"Cameron Rupp",4200,PHI,C,LAD,,,6.36
"Odubel Herrera",3900,PHI,OF,LAD,,,5.7
"Maikel Franco",3300,PHI,3B,LAD,,,7.42
"Tommy Joseph",3600,PHI,1B,LAD,,,6.76
"Aaron Altherr",3100,PHI,OF,LAD,,,6.53
"Tyler Goeddel",2500,PHI,OF,LAD,,,5.47
"Matt Wieters",2800,BAL,C,BOS,,,5.91
"Mark Trumbo",4000,BAL,OF,BOS,,,7.52
"Adam Jones",3900,BAL,OF,BOS,,,6.41
"Nolan Reimold",2400,BAL,OF,BOS,,,5.06
"Manny Machado",5100,BAL,3B/SS,BOS,,,7.82
"Jonathan Schoop",3100,BAL,2B,BOS,,,6.1
"Chris Davis",3600,BAL,1B,BOS,,,5.65
"J.J. Hardy",3000,BAL,SS,BOS,,,5.48
"Steve Pearce",3800,BAL,1B/2B,BOS,,,6.21
"Dustin Pedroia",4200,BOS,2B,BAL,,,6.89
"Brock Holt",3100,BOS,OF,BAL,,,5.84
"David Ortiz",5300,BOS,1B,BAL,,,9.76
"Xander Bogaerts",3500,BOS,SS,BAL,,,7.16
"Travis Shaw",3500,BOS,1B/3B,BAL,,,6.42
"Mookie Betts",5400,BOS,OF,BAL,,,9.06
"Jackie Bradley",4600,BOS,OF,BAL,,,7.71
"Sandy Leon",3300,BOS,C,BAL,,,6.27
"Andrew Benintendi",2500,BOS,OF,BAL,,,5.76
"J.D. Martinez",4300,DET,OF,KCR,,,8.78
"Victor Martinez",4100,DET,1B,KCR,,,8.27
"Miguel Cabrera",4900,DET,1B,KCR,,,9.09
"Ian Kinsler",4500,DET,2B,KCR,,,8.5
"Justin Upton",3100,DET,OF,KCR,,,6.03
"Erick Aybar",3200,DET,SS,KCR,,,4.91
"Casey McGehee",2400,DET,3B,KCR,,,5.16
"James McCann",3100,DET,C,KCR,,,4.81
"Jarrod Saltalamacchia",3100,DET,C,KCR,,,5.5
"Tyler Collins",2600,DET,OF,KCR,,,6.19
"Alcides Escobar",3800,KCR,SS,DET,,,5.42
"Eric Hosmer",3300,KCR,1B,DET,,,7.85
"Salvador Perez",3200,KCR,C,DET,,,7.23
"Paulo Orlando",4500,KCR,OF,DET,,,6.77
